Match ID,Team 1,Team 2,Score 1,Score 2,Winner,Map IDs
378662,Gen.G,Sentinels,2,0,Gen.G,"['180369', '180370', '180371']"
378663,FunPlus Phoenix,Team Heretics,1,2,Team Heretics,"['180372', '180373', '180374']"
378657,DRX,KRU Esports,2,1,DRX,"['180357', '180358', '180359']"
378656,FNATIC,Bilibili Gaming,2,0,FNATIC,"['180354', '180355', '180356']"
378667,LEVIATAN,Talon Esports,2,0,LEVIATAN,"['180384', '180385', '180386']"
378669,Team Vitality,Trace Esports,1,2,Trace Esports,"['180387', '180388', '180389']"
378674,G2 Esports,Paper Rex,2,0,G2 Esports,"['180402', '180403', '180404']"
378673,EDward Gaming,FUT Esports,2,0,EDward Gaming,"['180399', '180400', '180401']"
378664,Gen.G,Team Heretics,1,2,Team Heretics,"['180375', '180376', '180377']"
378658,FNATIC,DRX,0,2,DRX,"['180360', '180361', '180362']"
378670,LEVIATAN,Trace Esports,1,2,Trace Esports,"['180390', '180391', '180392']"
378675,EDward Gaming,G2 Esports,1,2,G2 Esports,"['180405', '180406', '180407']"
378665,Sentinels,FunPlus Phoenix,2,0,Sentinels,"['180378', '180379', '180380']"
378659,Bilibili Gaming,KRU Esports,0,2,KRU Esports,"['180363', '180364', '180365']"
378671,Talon Esports,Team Vitality,0,2,Team Vitality,"['180393', '180394', '180395']"
378676,FUT Esports,Paper Rex,0,2,Paper Rex,"['180408', '180409', '180410']"
378666,Gen.G,Sentinels,0,2,Sentinels,"['180381', '180382', '180383']"
378660,FNATIC,KRU Esports,2,1,FNATIC,"['180366', '180367', '180368']"
378672,LEVIATAN,Team Vitality,2,0,LEVIATAN,"['180396', '180397', '180398']"
378677,EDward Gaming,Paper Rex,2,1,EDward Gaming,"['180411', '180412', '180413']"
378822,DRX,Sentinels,0,2,Sentinels,"['180414', '180415', '180416']"
378823,Trace Esports,EDward Gaming,0,2,EDward Gaming,"['180417', '180418', '180419']"
378824,G2 Esports,LEVIATAN,0,2,LEVIATAN,"['180420', '180421', '180422']"
378825,Team Heretics,FNATIC,2,0,Team Heretics,"['180423', '180424', '180425']"
378831,DRX,Trace Esports,2,0,DRX,"['180440', '180441', '180442']"
378832,G2 Esports,FNATIC,0,2,FNATIC,"['180443', '180444', '180445']"
378826,Sentinels,EDward Gaming,1,2,EDward Gaming,"['180426', '180427', '180428']"
378827,LEVIATAN,Team Heretics,2,0,LEVIATAN,"['180429', '180430', '180431']"
378834,Sentinels,FNATIC,2,1,Sentinels,"['180449', '180450', '180451']"
378833,Team Heretics,DRX,2,1,Team Heretics,"['180446', '180447', '180448']"
378828,EDward Gaming,LEVIATAN,2,1,EDward Gaming,"['180432', '180433', '182971']"
378835,Team Heretics,Sentinels,2,1,Team Heretics,"['180452', '180453', '180454']"
378836,LEVIATAN,Team Heretics,1,3,Team Heretics,"['180455', '180456', '180457', '180458', '180459']"
378829,EDward Gaming,Team Heretics,3,2,EDward Gaming,"['180435', '180436', '180437', '180438', '180439']"
